suck,race_id,season,round,circuitId,dnf,Finished,Disqualified,Accident,Collision,Engine,Gearbox,Transmission,Clutch,Hydraulics,Electrical,Spunoff,Radiator,Suspension,Brakes,Differential,Overheating,Mechanical,Tyre,DriverSeat,Puncture,Driveshaft,Lap1,Laps2,Laps3,Laps4,Laps5,Laps6,Laps7,Laps8,Laps9
0,0,2008,1,albert_park,14,5,1,1,7,3,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1,2008,2,sepang,5,11,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0
2,2,2008,3,bahrain,3,11,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0
3,3,2008,4,catalunya,9,9,0,1,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
4,4,2008,5,istanbul,3,10,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
5,5,2008,6,monaco,6,9,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0
6,6,2008,7,villeneuve,7,12,0,1,2,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,7,2008,8,magny_cours,1,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
8,8,2008,9,silverstone,7,3,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0
9,9,2008,10,hockenheimring,3,16,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,10,2008,11,hungaroring,2,11,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,1,1,0,0,0,0,0,0
11,11,2008,12,valencia,3,11,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
12,12,2008,13,spa,2,9,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
13,13,2008,14,monza,1,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0
14,14,2008,15,marina_bay,5,14,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15,2008,16,fuji,5,12,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0
16,16,2008,17,shanghai,3,14,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
17,17,2008,18,interlagos,2,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0
18,18,2009,1,albert_park,5,11,1,1,3,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,19,2009,2,sepang,2,10,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
20,20,2009,3,shanghai,3,13,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
21,21,2009,4,bahrain,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
22,22,2009,5,catalunya,6,8,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
23,23,2009,6,monaco,5,9,0,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
24,24,2009,7,istanbul,2,13,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
