,season,Race,Overtakes,TV,Percentage
2,1984,Brazilian GP,61,14,22.95
3,1984,South African GP,83,15,18.07
4,1984,Belgian GP,50,14,28.00
5,1984,San Marino GP,53,5,9.43
6,1984,French GP,54,15,27.78
7,1984,Monaco GP,22,5,22.73
8,1984,Canadian GP,57,5,8.77
9,1984,Detroit GP,41,3,7.32
10,1984,Dallas GP,45,6,13.33
11,1984,British GP,16,0,0.00
12,1984,German GP,50,1,2.00
13,1984,Austrian GP,44,2,4.55
14,1984,Dutch GP,50,6,12.00
15,1984,Italian GP,51,9,17.65
16,1984,European GP,44,4,9.09
17,1984,Portuguese GP,60,9,15.00
19,1985,Brazilian GP,63,2,3.17
20,1985,Portuguese GP,59,3,5.08
21,1985,San Marino GP,49,8,16.33
22,1985,Monaco GP,22,7,31.82
23,1985,Canadian GP,48,5,10.42
24,1985,Detroit GP,46,3,6.52
25,1985,French GP,47,3,6.38
26,1985,British GP,52,12,23.08
27,1985,German GP,31,5,16.13
28,1985,Austrian GP,32,1,3.13
29,1985,Dutch GP,62,12,19.35
30,1985,Italian GP,40,9,22.50
31,1985,Belgian GP,65,6,9.23
32,1985,European GP,64,11,17.19
33,1985,South African GP,15,9,60.00
34,1985,Australian GP,47,6,12.77
36,1986,Brazilian GP,53,9,16.98
37,1986,Spanish GP,22,7,31.82
38,1986,San Marino GP,34,6,17.65
39,1986,Monaco GP,21,7,33.33
40,1986,Belgian GP,33,5,15.15
41,1986,Canadian GP,34,13,38.24
42,1986,Detroit GP,59,12,20.34
43,1986,French GP,35,11,31.43
44,1986,British GP,23,3,13.04
45,1986,German GP,65,6,9.23
46,1986,Hungarian GP,51,5,9.80
47,1986,Austrian GP,15,1,6.67
48,1986,Italian GP,58,11,18.97
49,1986,Portuguese GP,29,2,6.90
50,1986,Mexican GP,62,6,9.68
51,1986,Australian GP,64,3,4.69
53,1987,Brazilian GP,48,13,27.08
54,1987,San Marino GP,52,11,21.15
55,1987,Belgian GP,19,5,26.32
56,1987,Monaco GP,16,1,6.25
57,1987,Detroit GP,43,3,6.98
58,1987,French GP,44,4,9.09
59,1987,British GP,22,4,18.18
60,1987,German GP,31,6,19.35
61,1987,Hungarian GP,29,3,10.34
62,1987,Austrian GP,72,9,12.50
63,1987,Italian GP,27,6,22.22
64,1987,Portuguese GP,24,5,20.83
65,1987,Spanish GP,42,12,28.57
66,1987,Mexican GP,24,5,20.83
67,1987,Japanese GP,45,6,13.33
68,1987,Australian GP,54,4,7.41
70,1988,Brazilian GP,46,9,19.57
71,1988,San Marino GP,41,14,34.15
72,1988,Monaco GP,11,0,0.00
73,1988,Mexican GP,35,3,8.57
74,1988,Canadian GP,22,5,22.73
75,1988,Detroit GP,36,8,22.22
76,1988,French GP,36,10,27.78
77,1988,British GP,40,10,25.00
78,1988,German GP,29,4,13.79
79,1988,Hungarian GP,27,10,37.04
80,1988,Belgian GP,30,5,16.67
81,1988,Italian GP,32,7,21.88
82,1988,Portuguese GP,19,3,15.79
83,1988,Spanish GP,30,10,33.33
84,1988,Japanese GP,62,4,6.45
85,1988,Australian GP,35,6,17.14
87,1989,Brazilian GP,31,7,22.58
88,1989,San Marino GP,5,0,0.00
89,1989,Monaco GP,20,4,20.00
90,1989,Mexican GP,47,5,10.64
91,1989,United States GP,28,5,17.86
92,1989,Canadian GP,58,11,18.97
93,1989,French GP,38,5,13.16
94,1989,British GP,40,5,12.50
95,1989,German GP,27,4,14.81
96,1989,Hungarian GP,35,9,25.71
97,1989,Belgian GP,20,0,0.00
98,1989,Italian GP,28,9,32.14
99,1989,Portuguese GP,71,10,14.08
100,1989,Spanish GP,29,7,24.14
101,1989,Japanese GP,44,4,9.09
102,1989,Australian GP,46,3,6.52
104,1990,United States GP,44,8,18.18
105,1990,Brazilian GP,42,4,9.52
106,1990,San Marino GP,33,4,12.12
107,1990,Monaco GP,11,7,63.64
108,1990,Canadian GP,60,19,31.67
109,1990,Mexican GP,73,15,20.55
110,1990,French GP,36,6,16.67
111,1990,British GP,49,11,22.45
112,1990,German GP,20,2,10.00
113,1990,Hungarian GP,39,8,20.51
114,1990,Belgian GP,31,6,19.35
115,1990,Italian GP,17,4,23.53
116,1990,Portuguese GP,31,5,16.13
117,1990,Spanish GP,18,1,5.56
118,1990,Japanese GP,11,1,9.09
119,1990,Australian GP,29,8,27.59
121,1991,United States GP,27,7,25.93
122,1991,Brazilian GP,26,2,7.69
123,1991,San Marino GP,40,15,37.50
124,1991,Monaco GP,9,1,11.11
125,1991,Canadian GP,33,7,21.21
126,1991,Mexican GP,54,5,9.26
127,1991,French GP,41,8,19.51
128,1991,British GP,43,8,18.60
129,1991,German GP,29,6,20.69
130,1991,Hungarian GP,33,2,6.06
131,1991,Belgian GP,35,9,25.71
132,1991,Italian GP,29,8,27.59
133,1991,Portuguese GP,25,6,24.00
134,1991,Spanish GP,65,7,10.77
135,1991,Japanese GP,6,1,16.67
136,1991,Australian GP,23,0,0.00
138,1992,South African GP,22,0,0.00
139,1992,Mexican GP,43,4,9.30
140,1992,Brazilian GP,20,5,25.00
141,1992,Spanish GP,41,8,19.51
142,1992,San Marino GP,22,1,4.55
143,1992,Monaco GP,7,1,14.29
144,1992,Canadian GP,17,1,5.88
145,1992,French GP,4,1,25.00
146,1992,British GP,29,2,6.90
147,1992,German GP,20,2,10.00
148,1992,Hungarian GP,27,9,33.33
149,1992,Belgian GP,63,22,34.92
150,1992,Italian GP,43,10,23.26
151,1992,Portuguese GP,31,1,3.23
152,1992,Japanese GP,18,2,11.11
153,1992,Australian GP,19,4,21.05
155,1993,South African GP,10,4,40.00
156,1993,Brazilian GP,28,8,28.57
157,1993,European GP,31,2,6.45
158,1993,San Marino GP,22,8,36.36
159,1993,Spanish GP,18,3,16.67
160,1993,Monaco GP,31,5,16.13
161,1993,Canadian GP,11,7,63.64
162,1993,French GP,24,2,8.33
163,1993,British GP,26,4,15.38
164,1993,German GP,51,16,31.37
165,1993,Hungarian GP,39,7,17.95
166,1993,Belgian GP,42,9,21.43
167,1993,Italian GP,30,7,23.33
168,1993,Portuguese GP,29,0,0.00
169,1993,Japanese GP,28,8,28.57
170,1993,Australian GP,14,2,14.29
172,1994,Brazilian GP,20,3,15.00
173,1994,Pacific GP,16,7,43.75
174,1994,San Marino GP,0,0,0.00
175,1994,Monaco GP,9,1,11.11
176,1994,Spanish GP,14,0,0.00
177,1994,Canadian GP,28,4,14.29
178,1994,French GP,15,2,13.33
179,1994,British GP,36,3,8.33
180,1994,German GP,12,2,16.67
181,1994,Hungarian GP,5,1,20.00
182,1994,Belgian GP,36,5,13.89
183,1994,Italian GP,31,3,9.68
184,1994,Portuguese GP,27,3,11.11
185,1994,European GP,15,2,13.33
186,1994,Japanese GP,3,0,0.00
187,1994,Australian GP,20,8,40.00
189,1995,Brazilian GP,22,5,22.73
190,1995,Argentine GP,27,4,14.81
191,1995,San Marino GP,44,0,0.00
192,1995,Spanish GP,19,2,10.53
193,1995,Monaco GP,9,0,0.00
194,1995,Canadian GP,9,3,33.33
195,1995,French GP,9,1,11.11
196,1995,British GP,18,1,5.56
197,1995,German GP,22,7,31.82
198,1995,Hungarian GP,5,1,20.00
199,1995,Belgian GP,26,10,38.46
200,1995,Italian GP,22,4,18.18
201,1995,Portuguese GP,16,3,18.75
