raceId,driverId,stop,lap,time,duration,milliseconds
841,1,2,36,17:59:29,23.199,23199
841,2,2,30,17:51:32,25.098,25098
841,3,1,16,17:29:00,23.716,23716
841,4,3,42,18:09:08,24.181,24181
841,5,1,17,17:31:11,24.865,24865
841,10,1,18,17:33:02,23.792,23792
841,13,3,48,18:18:54,24.095,24095
841,15,2,37,18:03:55,24.848,24848
841,16,2,37,18:02:15,23.871,23871
841,17,3,41,18:07:37,26.230,26230
841,18,3,37,18:01:49,22.681,22681
841,20,2,36,17:59:17,24.036,24036
841,22,4,40,18:08:03,26.309,26309
841,30,2,17,17:32:08,23.988,23988
841,67,2,29,17:49:47,23.100,23100
841,153,3,35,17:59:45,26.348,26348
841,155,2,32,17:54:21,24.192,24192
841,808,2,36,17:59:47,25.683,25683
841,814,2,36,18:00:48,24.332,24332
841,815,1,23,17:40:27,23.438,23438
841,816,2,38,18:06:53,26.446,26446
842,1,4,52,17:34:48,22.466,22466
842,2,3,39,17:12:09,22.602,22602
842,3,3,40,17:15:05,22.526,22526
842,4,4,46,17:24:24,27.182,27182
842,5,2,34,17:04:41,23.336,23336
842,10,2,34,17:05:19,24.429,24429
842,13,3,38,17:10:28,22.893,22893
842,15,1,13,16:27:03,25.516,25516
842,16,3,32,17:00:56,22.550,22550
842,17,4,43,17:19:10,22.161,22161
842,18,3,38,17:10:13,22.483,22483
842,20,3,41,17:15:08,22.313,22313
842,22,2,17,16:35:41,24.502,24502
842,24,3,44,17:25:07,38.823,38823
842,30,3,42,17:18:08,22.227,22227
842,67,3,32,17:01:03,27.439,27439
842,153,2,32,17:00:55,22.888,22888
842,155,2,36,17:07:26,23.442,23442
842,808,3,44,17:21:08,28.694,28694
842,814,3,37,17:09:21,23.977,23977
842,815,1,17,16:34:14,23.597,23597
842,816,2,35,17:07:20,24.416,24416
843,1,3,38,16:09:38,20.567,20567
843,2,2,30,15:56:29,21.821,21821
843,3,3,39,16:11:19,20.720,20720
843,4,2,32,15:59:39,21.251,21251
843,5,2,40,16:14:27,21.890,21890
843,10,3,39,16:14:17,33.827,33827
843,13,2,33,16:01:04,21.168,21168
843,15,2,42,16:18:14,22.260,22260
843,16,3,47,16:26:24,28.708,28708
843,17,3,40,16:13:29,21.091,21091
843,18,3,37,16:08:00,21.237,21237
843,20,2,31,15:57:37,21.533,21533
843,22,2,35,16:05:24,21.481,21481
843,24,3,45,16:25:39,23.499,23499
843,30,3,39,16:11:49,21.400,21400
843,39,1,23,15:45:28,26.049,26049
843,67,3,33,16:02:13,21.928,21928
843,153,1,9,15:19:36,22.419,22419
843,155,2,30,15:56:28,21.936,21936
843,808,2,37,16:08:34,22.005,22005
843,813,3,40,16:14:36,27.620,27620
843,814,2,32,15:59:51,21.218,21218
843,815,4,50,16:31:39,28.845,28845
843,816,2,34,16:05:10,22.802,22802
844,1,4,46,16:15:51,22.041,22041
844,2,4,46,16:16:10,21.884,21884
844,3,4,44,16:12:55,20.308,20308
844,4,4,46,16:15:17,21.379,21379
844,5,3,53,16:28:36,23.114,23114
844,13,4,46,16:16:13,26.685,26685
844,15,3,39,16:06:10,22.219,22219
844,16,3,40,16:07:05,21.006,21006
844,17,4,45,16:13:49,22.087,22087
844,18,3,39,16:05:05,21.417,21417
844,20,4,47,16:16:40,20.489,20489
844,22,3,40,16:07:01,21.687,21687
844,24,4,37,16:07:22,43.603,43603
844,30,4,45,16:14:46,20.597,20597
844,39,3,45,16:17:26,24.474,24474
844,67,3,40,16:06:48,22.032,22032
844,153,4,55,16:30:31,21.931,21931
844,155,3,38,16:03:58,22.456,22456
844,808,4,45,16:14:37,21.662,21662
844,813,4,45,16:15:30,13.925,13925
844,814,4,44,16:13:28,21.403,21403
844,815,4,42,16:10:21,21.715,21715
844,816,2,33,15:57:20,24.837,24837
845,1,4,49,15:17:11,20.988,20988
845,2,3,50,15:20:32,20.796,20796
845,3,3,42,15:07:53,20.395,20395
845,4,4,39,15:02:54,20.380,20380
845,5,3,41,15:07:42,23.068,23068
845,10,3,53,15:27:29,21.170,21170
845,13,3,36,14:58:48,22.419,22419
845,15,3,43,15:10:27,23.001,23001
845,16,3,48,15:17:54,23.230,23230
845,17,4,47,15:14:50,19.984,19984
845,18,3,48,15:16:10,20.107,20107
845,20,4,48,15:15:41,20.292,20292
845,22,4,54,15:27:32,20.637,20637
845,24,1,16,14:28:55,23.157,23157
845,30,3,41,15:06:21,20.451,20451
845,39,3,47,15:19:38,24.298,24298
845,67,3,42,15:08:31,20.819,20819
845,153,4,50,15:21:09,23.143,23143
845,155,3,44,15:11:40,20.500,20500
845,808,3,41,15:06:36,21.739,21739
845,813,4,53,15:25:26,22.077,22077
845,814,3,51,15:22:03,20.573,20573
845,815,3,47,15:16:00,21.829,21829
845,816,3,49,15:21:44,21.708,21708
846,1,3,49,15:12:04,26.977,26977
846,2,2,69,15:40:13,26.281,26281
846,3,3,53,15:18:33,25.116,25116
846,4,2,34,14:48:45,31.382,31382
846,5,2,52,15:17:38,25.878,25878
846,10,1,22,14:33:33,26.827,26827
