raceId,year,round
1,2009,1
2,2009,2
3,2009,3
4,2009,4
5,2009,5
6,2009,6
7,2009,7
8,2009,8
9,2009,9
10,2009,10
11,2009,11
12,2009,12
13,2009,13
14,2009,14
15,2009,15
16,2009,16
17,2009,17
18,2008,1
19,2008,2
20,2008,3
21,2008,4
22,2008,5
23,2008,6
24,2008,7
25,2008,8
26,2008,9
27,2008,10
28,2008,11
29,2008,12
30,2008,13
31,2008,14
32,2008,15
33,2008,16
34,2008,17
35,2008,18
36,2007,1
37,2007,2
38,2007,3
39,2007,4
40,2007,5
41,2007,6
42,2007,7
43,2007,8
44,2007,9
45,2007,10
46,2007,11
47,2007,12
48,2007,13
49,2007,14
50,2007,15
51,2007,16
52,2007,17
53,2006,1
54,2006,2
55,2006,3
56,2006,4
57,2006,5
58,2006,6
59,2006,7
60,2006,8
61,2006,9
62,2006,10
63,2006,11
64,2006,12
65,2006,13
66,2006,14
67,2006,15
68,2006,16
69,2006,17
70,2006,18
71,2005,1
72,2005,2
73,2005,3
74,2005,4
75,2005,5
76,2005,6
77,2005,7
78,2005,8
79,2005,9
80,2005,10
81,2005,11
82,2005,12
83,2005,13
84,2005,14
85,2005,15
86,2005,16
87,2005,17
88,2005,18
89,2005,19
90,2004,1
91,2004,2
92,2004,3
93,2004,4
94,2004,5
95,2004,6
96,2004,7
97,2004,8
98,2004,9
99,2004,10
100,2004,11
101,2004,12
102,2004,13
103,2004,14
104,2004,15
105,2004,16
106,2004,17
107,2004,18
108,2003,1
109,2003,2
110,2003,3
111,2003,4
112,2003,5
113,2003,6
114,2003,7
115,2003,8
116,2003,9
117,2003,10
118,2003,11
119,2003,12
120,2003,13
121,2003,14
122,2003,15
123,2003,16
124,2002,1
125,2002,2
126,2002,3
127,2002,4
128,2002,5
129,2002,6
130,2002,7
131,2002,8
132,2002,9
133,2002,10
134,2002,11
135,2002,12
136,2002,13
137,2002,14
138,2002,15
139,2002,16
140,2002,17
141,2001,1
142,2001,2
143,2001,3
144,2001,4
145,2001,5
146,2001,6
147,2001,7
148,2001,8
149,2001,9
150,2001,10
151,2001,11
152,2001,12
153,2001,13
154,2001,14
155,2001,15
156,2001,16
157,2001,17
158,2000,1
159,2000,2
160,2000,3
161,2000,4
162,2000,5
163,2000,6
164,2000,7
165,2000,8
166,2000,9
167,2000,10
168,2000,11
169,2000,12
170,2000,13
171,2000,14
172,2000,15
173,2000,16
174,2000,17
175,1999,1
176,1999,2
177,1999,3
178,1999,4
179,1999,5
180,1999,6
181,1999,7
182,1999,8
183,1999,9
184,1999,10
185,1999,11
186,1999,12
187,1999,13
188,1999,14
189,1999,15
190,1999,16
191,1998,1
192,1998,2
193,1998,3
194,1998,4
195,1998,5
196,1998,6
197,1998,7
198,1998,8
199,1998,9
200,1998,10
201,1998,11
202,1998,12
203,1998,13
204,1998,14
205,1998,15
206,1998,16
207,1997,1
208,1997,2
209,1997,3
210,1997,4
211,1997,5
212,1997,6
213,1997,7
214,1997,8
215,1997,9
216,1997,10
217,1997,11
218,1997,12
219,1997,13
220,1997,14
221,1997,15
222,1997,16
223,1997,17
224,1996,1
225,1996,2
226,1996,3
227,1996,4
228,1996,5
229,1996,6
230,1996,7
231,1996,8
232,1996,9
233,1996,10
234,1996,11
235,1996,12
236,1996,13
237,1996,14
238,1996,15
239,1996,16
240,1995,1
241,1995,2
242,1995,3
243,1995,4
244,1995,5
245,1995,6
246,1995,7
247,1995,8
248,1995,9
249,1995,10
250,1995,11
251,1995,12
252,1995,13
253,1995,14
254,1995,15
255,1995,16
256,1995,17
257,1994,1
258,1994,2
259,1994,3
260,1994,4
261,1994,5
262,1994,6
263,1994,7
264,1994,8
265,1994,9
266,1994,10
267,1994,11
268,1994,12
269,1994,13
270,1994,14
271,1994,15
272,1994,16
273,1993,1
274,1993,2
275,1993,3
276,1993,4
277,1993,5
278,1993,6
279,1993,7
280,1993,8
281,1993,9
282,1993,10
283,1993,11
284,1993,12
285,1993,13
286,1993,14
287,1993,15
288,1993,16
289,1992,1
290,1992,2
291,1992,3
292,1992,4
293,1992,5
294,1992,6
295,1992,7
296,1992,8
297,1992,9
298,1992,10
299,1992,11
300,1992,12
301,1992,13
302,1992,14
303,1992,15
304,1992,16
305,1991,1
306,1991,2
307,1991,3
308,1991,4
309,1991,5
310,1991,6
311,1991,7
312,1991,8
313,1991,9
314,1991,10
315,1991,11
316,1991,12
317,1991,13
318,1991,14
319,1991,15
320,1991,16
321,1990,1
322,1990,2
323,1990,3
324,1990,4
325,1990,5
326,1990,6
327,1990,7
328,1990,8
329,1990,9
330,1990,10
331,1990,11
332,1990,12
333,1990,13
334,1990,14
335,1990,15
336,1990,16
337,2010,1
338,2010,2
339,2010,3
340,2010,4
341,2010,5
342,2010,6
343,2010,7
344,2010,8
345,2010,9
346,2010,10
347,2010,11
348,2010,12
349,2010,13
350,2010,14
351,2010,15
352,2010,16
353,2010,17
354,2010,18
355,2010,19
356,1989,1
357,1989,2
358,1989,3
359,1989,4
360,1989,5
361,1989,6
362,1989,7
363,1989,8
364,1989,9
365,1989,10
366,1989,11
367,1989,12
368,1989,13
369,1989,14
370,1989,15
371,1989,16
372,1988,1
373,1988,2
374,1988,3
375,1988,4
376,1988,5
377,1988,6
378,1988,7
379,1988,8
380,1988,9
381,1988,10
382,1988,11
383,1988,12
384,1988,13
385,1988,14
386,1988,15
387,1988,16
388,1987,1
389,1987,2
390,1987,3
391,1987,4
392,1987,5
393,1987,6
394,1987,7
395,1987,8
396,1987,9
397,1987,10
398,1987,11
399,1987,12
400,1987,13
401,1987,14
402,1987,15
403,1987,16
404,1986,1
405,1986,2
406,1986,3
407,1986,4
408,1986,5
409,1986,6
410,1986,7
411,1986,8
412,1986,9
413,1986,10
414,1986,11
415,1986,12
416,1986,13
417,1986,14
418,1986,15
419,1986,16
420,1985,1
421,1985,2
422,1985,3
423,1985,4
424,1985,5
425,1985,6
426,1985,7
427,1985,8
428,1985,9
429,1985,10
430,1985,11
431,1985,12
432,1985,13
433,1985,14
434,1985,15
435,1985,16
436,1984,1
437,1984,2
438,1984,3
439,1984,4
440,1984,5
441,1984,6
442,1984,7
443,1984,8
444,1984,9
445,1984,10
446,1984,11
447,1984,12
448,1984,13
449,1984,14
450,1984,15
451,1984,16
452,1983,1
453,1983,2
454,1983,3
455,1983,4
456,1983,5
457,1983,6
458,1983,7
459,1983,8
460,1983,9
461,1983,10
462,1983,11
463,1983,12
464,1983,13
465,1983,14
466,1983,15
467,1982,1
468,1982,2
469,1982,3
470,1982,4
471,1982,5
472,1982,6
473,1982,7
474,1982,8
475,1982,9
476,1982,10
477,1982,11
478,1982,12
479,1982,13
480,1982,14
481,1982,15
482,1982,16
483,1981,1
484,1981,2
485,1981,3
486,1981,4
487,1981,5
488,1981,6
489,1981,7
490,1981,8
491,1981,9
492,1981,10
493,1981,11
494,1981,12
495,1981,13
496,1981,14
497,1981,15
498,1980,1
499,1980,2
500,1980,3
501,1980,4
502,1980,5
503,1980,6
504,1980,7
505,1980,8
506,1980,9
507,1980,10
508,1980,11
509,1980,12
510,1980,13
511,1980,14
512,1979,1
513,1979,2
514,1979,3
515,1979,4
516,1979,5
517,1979,6
518,1979,7
519,1979,8
520,1979,9
521,1979,10
522,1979,11
523,1979,12
524,1979,13
525,1979,14
526,1979,15
527,1978,1
528,1978,2
529,1978,3
530,1978,4
531,1978,5
532,1978,6
533,1978,7
534,1978,8
535,1978,9
536,1978,10
537,1978,11
538,1978,12
539,1978,13
540,1978,14
541,1978,15
542,1978,16
543,1977,1
544,1977,2
545,1977,3
546,1977,4
547,1977,5
548,1977,6
549,1977,7
550,1977,8
551,1977,9
552,1977,10
553,1977,11
554,1977,12
555,1977,13
556,1977,14
557,1977,15
558,1977,16
559,1977,17
560,1976,1
561,1976,2
562,1976,3
563,1976,4
564,1976,5
565,1976,6
566,1976,7
567,1976,8
568,1976,9
569,1976,10
570,1976,11
571,1976,12
572,1976,13
573,1976,14
574,1976,15
575,1976,16
576,1975,1
577,1975,2
578,1975,3
579,1975,4
580,1975,5
581,1975,6
582,1975,7
583,1975,8
584,1975,9
585,1975,10
586,1975,11
587,1975,12
588,1975,13
589,1975,14
590,1974,1
591,1974,2
592,1974,3
593,1974,4
594,1974,5
595,1974,6
596,1974,7
597,1974,8
598,1974,9
599,1974,10
600,1974,11
601,1974,12
602,1974,13
603,1974,14
604,1974,15
605,1973,1
606,1973,2
607,1973,3
608,1973,4
609,1973,5
610,1973,6
611,1973,7
612,1973,8
613,1973,9
614,1973,10
615,1973,11
616,1973,12
617,1973,13
618,1973,14
619,1973,15
620,1972,1
621,1972,2
622,1972,3
623,1972,4
624,1972,5
625,1972,6
626,1972,7
627,1972,8
628,1972,9
629,1972,10
630,1972,11
631,1972,12
632,1971,1
633,1971,2
634,1971,3
635,1971,4
636,1971,5
637,1971,6
638,1971,7
639,1971,8
640,1971,9
641,1971,10
642,1971,11
643,1970,1
644,1970,2
645,1970,3
646,1970,4
647,1970,5
648,1970,6
649,1970,7
650,1970,8
651,1970,9
652,1970,10
653,1970,11
654,1970,12
655,1970,13
656,1969,1
657,1969,2
658,1969,3
659,1969,4
660,1969,5
661,1969,6
662,1969,7
663,1969,8
664,1969,9
665,1969,10
666,1969,11
667,1968,1
668,1968,2
669,1968,3
670,1968,4
671,1968,5
672,1968,6
673,1968,7
674,1968,8
675,1968,9
676,1968,10
677,1968,11
678,1968,12
679,1967,1
680,1967,2
681,1967,3
682,1967,4
683,1967,5
684,1967,6
685,1967,7
686,1967,8
687,1967,9
688,1967,10
689,1967,11
690,1966,1
691,1966,2
692,1966,3
693,1966,4
694,1966,5
695,1966,6
696,1966,7
697,1966,8
698,1966,9
699,1965,1
700,1965,2
701,1965,3
702,1965,4
703,1965,5
704,1965,6
705,1965,7
706,1965,8
707,1965,9
708,1965,10
709,1964,1
710,1964,2
711,1964,3
712,1964,4
713,1964,5
714,1964,6
715,1964,7
716,1964,8
717,1964,9
718,1964,10
719,1963,1
720,1963,2
721,1963,3
722,1963,4
723,1963,5
724,1963,6
725,1963,7
726,1963,8
727,1963,9
728,1963,10
729,1962,1
730,1962,2
731,1962,3
732,1962,4
733,1962,5
734,1962,6
735,1962,7
736,1962,8
737,1962,9
738,1961,1
739,1961,2
740,1961,3
741,1961,4
742,1961,5
743,1961,6
744,1961,7
745,1961,8
746,1960,1
747,1960,2
748,1960,3
749,1960,4
750,1960,5
751,1960,6
752,1960,7
753,1960,8
754,1960,9
755,1960,10
756,1959,1
757,1959,2
758,1959,3
759,1959,4
760,1959,5
761,1959,6
762,1959,7
763,1959,8
764,1959,9
765,1958,1
766,1958,2
767,1958,3
768,1958,4
769,1958,5
770,1958,6
771,1958,7
772,1958,8
773,1958,9
774,1958,10
775,1958,11
776,1957,1
777,1957,2
778,1957,3
779,1957,4
780,1957,5
781,1957,6
782,1957,7
783,1957,8
784,1956,1
785,1956,2
786,1956,3
787,1956,4
788,1956,5
789,1956,6
790,1956,7
791,1956,8
792,1955,1
793,1955,2
794,1955,3
795,1955,4
796,1955,5
797,1955,6
798,1955,7
799,1954,1
800,1954,2
801,1954,3
802,1954,4
803,1954,5
804,1954,6
805,1954,7
806,1954,8
807,1954,9
808,1953,1
809,1953,2
810,1953,3
811,1953,4
812,1953,5
813,1953,6
814,1953,7
815,1953,8
816,1953,9
817,1952,1
818,1952,2
819,1952,3
820,1952,4
821,1952,5
822,1952,6
823,1952,7
824,1952,8
