raceId,lap,p1_p2,p2_p3,p1_last
1,1,3.995,0.554,89.314
1,2,4.556,1.023,107.976
1,3,4.46,1.393,118.018
1,4,4.236,1.926,121.891
1,5,4.298,2.489,125.445
1,6,4.209,3.785,128.773
1,7,4.198,5.684,132.479
1,8,4.09,8.462,136.347
1,9,3.797,12.414,139.878
1,10,4.435,17.194,143.555
1,11,4.858,23.193,146.98
1,12,4.569,27.084,152.841
1,13,4.264,27.343,156.334
1,14,4.385,27.314,162.413
1,15,4.174,27.588,165.683
1,16,26.411,15.495,168.388
1,17,34.019,10.711,177.619
1,18,36.477,23.132,193.466
1,19,16.238,34.126,185.015
1,20,47.78,2.103,169.984
1,21,28.227,3.344,168.247
1,22,0.889,0.777,77.973
1,23,1.676,0.567,23.158
1,24,0.455,1.094,11.707
1,25,1.149,1.288,15.745
1,26,2.08,1.349,19.018
1,27,2.191,1.495,22.01
1,28,2.441,1.936,25.315
1,29,3.129,2.253,28.94
1,30,3.929,2.274,32.16
1,31,4.305,3.661,35.094
1,32,4.6,3.335,38.598
1,33,5.117,2.629,42.278
1,34,5.374,2.014,56.027
1,35,5.34,1.754,67.418
1,36,5.213,1.569,74.546
1,37,5.095,1.506,74.761
1,38,5.116,1.522,74.831
1,39,5.005,17.701,75.803
1,40,4.753,19.152,76.548
1,41,4.867,19.956,77.902
1,42,5.164,20.35,80.25
1,43,5.407,20.314,83.119
1,44,5.025,20.44,91.735
1,45,22.742,3.335,94.748
1,46,27.968,1.481,97.897
1,47,5.741,1.669,78.148
1,48,1.513,1.902,76.549
1,49,1.746,1.765,79.092
1,50,1.677,1.76,81.259
1,51,1.606,3.4,85.23
1,52,1.892,2.543,95.855
1,53,2.116,2.128,100.065
1,54,2.546,1.318,103.153
1,55,4.002,0.396,115.094
1,56,36.34,9.764,176.354
1,57,2.116,1.418,153.286
1,58,0.807,0.797,7.374
2,1,1.236,2.722,18.202
2,2,1.225,1.791,40.062
2,3,1.358,1.2,70.265
2,4,1.914,1.075,72.696
2,5,1.972,1.161,74.871
2,6,2.313,0.779,76.677
2,7,2.706,0.662,78.683
2,8,2.861,0.929,80.435
2,9,2.762,1.214,81.909
2,10,3.033,1.309,84.304
2,11,3.054,1.178,86.258
2,12,3.005,1.184,88.304
2,13,3.103,1.33,90.201
2,14,3.318,1.007,92.362
2,15,0.531,1.109,90.942
2,16,0.856,7.015,91.407
2,17,2.385,4.263,92.095
2,18,7.54,19.149,94.777
2,19,5.5,20.722,137.004
2,20,14.96,4.651,156.232
2,21,6.044,5.393,167.189
2,22,14.669,4.589,186.026
2,23,15.84,5.039,170.353
2,24,13.754,4.401,168.753
2,25,14.162,2.453,163.996
2,26,18.106,2.259,160.978
2,27,24.874,2.264,157.449
2,28,24.667,0.732,153.438
2,29,16.427,6.416,154.034
2,30,5.167,9.025,154.741
2,31,22.722,0.791,142.841
3,1,1.604,0.851,32.424
3,2,1.609,0.573,30.989
3,3,1.017,0.601,33.047
3,4,0.889,0.714,34.573
3,5,0.78,0.512,32.378
3,6,1.185,0.83,30.274
3,7,0.724,1.716,29.81
3,8,0.882,0.935,20.877
3,9,2.407,2.375,27.199
3,10,3.419,3.831,31.539
3,11,2.954,7.31,37.24
3,12,2.858,8.257,43.588
3,13,6.015,5.96,50.184
3,14,11.27,2.368,57.888
3,15,9.126,9.83,56.959
3,16,10.177,5.008,50.138
3,17,12.947,2.918,52.996
3,18,14.179,1.746,173.335
3,19,18.44,2.538,93.967
3,20,0.864,0.902,77.944
3,21,1.651,7.537,35.022
3,22,0.631,0.553,18.424
3,23,4.305,1.707,25.032
3,24,5.708,2.2,31.197
3,25,6.44,2.261,49.93
3,26,7.684,1.921,50.32
3,27,8.818,2.054,53.472
3,28,9.854,1.384,94.561
3,29,10.869,1.57,132.537
3,30,11.103,3.184,135.906
3,31,16.303,0.246,139.051
3,32,18.333,0.782,143.758
3,33,17.667,3.178,151.639
3,34,17.446,4.385,158.279
3,35,17.566,6.506,161.141
3,36,17.513,8.404,164.103
3,37,12.885,8.465,165.067
3,38,9.224,2.379,155.489
3,39,6.268,1.19,154.945
3,40,1.285,14.301,150.985
3,41,0.678,13.637,152.529
3,42,8.023,6.645,155.437
3,43,15.689,6.156,172.779
3,44,15.539,16.673,168.719
3,45,16.642,17.032,200.398
3,46,15.725,17.62,251.835
3,47,14.47,19.205,253.396
3,48,13.975,21.053,255.733
3,49,14.174,21.977,256.102
3,50,14.688,22.932,259.244
3,51,14.214,24.86,263.139
3,52,13.375,26.368,265.205
3,53,12.066,27.945,264.774
3,54,12.238,29.121,265.348
3,55,11.644,30.832,163.914
3,56,10.97,34.005,106.853
4,1,1.673,1.671,13.853
4,2,1.779,2.585,24.891
4,3,1.585,3.099,58.913
4,4,1.626,3.296,62.633
4,5,1.598,3.441,66.861
4,6,1.596,3.708,70.495
4,7,1.534,3.786,73.917
4,8,1.82,3.453,76.981
4,9,2.04,3.476,80.522
4,10,1.871,3.724,83.99
4,11,0.876,2.709,85.631
4,12,1.553,8.264,86.889
4,13,8.056,2.75,88.331
4,14,8.878,2.289,91.884
4,15,9.596,0.01,93.284
4,16,13.158,3.219,86.741
4,17,13.843,3.74,90.121
4,18,14.809,3.92,92.809
4,19,13.609,4.018,93.825
4,20,3.895,5.586,82.314
4,21,1.681,6.604,82.082
4,22,7.527,0.552,82.704
4,23,8.224,0.522,84.737
4,24,9.069,0.5,86.658
4,25,9.805,0.53,88.62
4,26,10.376,1.041,90.613
4,27,11.183,1.071,92.625
4,28,12.091,0.643,95.798
4,29,12.834,0.794,98.118
4,30,13.388,0.993,100.121
4,31,13.994,1.223,114.417
4,32,14.474,1.272,116.001
4,33,14.938,1.128,117.07
4,34,15.606,1.19,118.294
4,35,16.13,1.181,121.123
4,36,16.804,1.112,121.968
4,37,16.596,1.144,135.719
4,38,10.584,11.458,119.841
4,39,11.559,10.684,121.034
4,40,9.903,10.588,122.873
4,41,10.045,3.412,114.992
4,42,8.999,4.175,116.278
4,43,8.251,4.435,118.366
4,44,9.737,2.71,118.939
4,45,12.724,0.593,119.251
4,46,13.057,0.8,119.851
4,47,12.916,1.143,120.367
4,48,12.586,1.21,120.568
4,49,12.644,1.118,121.34
4,50,12.584,1.112,121.934
4,51,11.121,0.865,121.044
4,52,10.387,0.963,120.808
4,53,9.523,1.144,120.735
4,54,8.739,1.216,120.785
4,55,8.675,1.128,121.011
4,56,7.833,1.585,121.305
4,57,7.187,1.983,78.805
5,1,1.055,1.296,21.343
5,2,0.959,1.068,14.028
5,3,1.058,1.047,17.105
5,4,0.942,0.793,15.593
5,5,0.455,0.593,8.846
5,6,0.987,1.501,11.823
5,7,1.14,1.807,62.933
5,8,1.1,2.287,17.754
5,9,1.061,2.641,20.416
5,10,1.086,2.906,22.864
5,11,1.337,3.08,25.321
5,12,1.459,3.606,28.212
5,13,1.617,3.842,31.298
5,14,1.541,3.981,33.797
5,15,1.595,4.623,36.433
5,16,1.578,5.22,39.065
5,17,1.384,5.664,41.498
5,18,3.979,3.411,49.377
5,19,5.688,0.953,49.456
5,20,0.865,12.635,43.241
5,21,1.875,4.277,31.134
5,22,2.617,4.355,43.115
5,23,3.466,4.408,44.758
5,24,3.799,4.912,46.414
5,25,6.709,2.749,47.846
5,26,10.591,2.854,49.594
5,27,11.344,3.211,51.251
5,28,12.189,3.26,53.303
5,29,13.055,3.102,55.295
5,30,13.594,3.344,57.016
5,31,12.11,3.433,69.488
5,32,3.314,1.018,58.344
5,33,3.635,0.905,59.506
5,34,4.089,0.967,60.959
5,35,4.503,0.884,62.371
5,36,4.739,1.07,63.705
5,37,5.013,1.049,65.861
5,38,5.116,1.052,67.552
5,39,4.999,1.123,69.268
5,40,4.81,1.377,70.842
5,41,4.536,1.297,72.579
5,42,4.077,1.39,74.131
5,43,6.017,1.571,75.686
5,44,12.034,2.519,77.39
5,45,11.952,2.813,79.089
5,46,11.955,2.952,80.514
5,47,12.101,2.859,88.314
5,48,9.42,3.168,89.224
5,49,3.71,11.76,83.586
5,50,3.707,10.733,84.21
5,51,7.115,2.774,71.508
5,52,8.102,2.036,75.027
5,53,8.871,1.409,99.537
5,54,9.261,1.705,118.888
5,55,9.778,1.608,118.951
5,56,10.431,1.464,118.788
5,57,11.076,1.305,118.516
5,58,11.607,1.256,118.511
5,59,12.299,1.188,118.356
5,60,12.972,1.076,119.714
5,61,13.044,1.04,119.206
5,62,12.991,1.215,118.532
5,63,13.284,1.139,117.996
5,64,13.736,1.231,118.96
5,65,14.588,1.17,118.493
5,66,13.056,0.868,65.211
6,1,0.918,1.595,16.557
6,2,1.105,1.991,51.185
6,3,0.982,2.155,58.454
6,4,1.234,2.016,60.165
6,5,1.58,1.775,61.584
6,6,1.704,1.643,63.1
6,7,2.513,1.605,64.878
6,8,2.849,1.406,66.492
6,9,3.174,1.535,68.121
6,10,4.245,1.045,70.478
6,11,5.964,0.918,77.417
6,12,7.543,0.283,81.72
6,13,9.026,0.626,81.769
6,14,10.917,0.503,82.962
6,15,12.59,7.04,83.391
6,16,18.287,2.205,85.028
6,17,1.784,1.902,69.624
6,18,0.648,4.547,65.904
6,19,0.882,4.14,66.636
6,20,4.703,1.121,67.124
6,21,5.242,11.299,67.665
6,22,16.61,2.355,68.611
6,23,16.63,2.601,69.553
6,24,16.765,2.795,70.493
6,25,16.726,3.041,72.07
6,26,16.594,3.338,72.539
6,27,16.086,3.374,72.86
6,28,15.667,3.636,73.78
6,29,15.636,3.49,74.711
6,30,15.391,3.598,77.906
6,31,15.083,3.45,78.963
6,32,14.931,3.565,79.999
6,33,14.737,3.815,81.197
6,34,14.636,3.732,81.888
6,35,14.845,3.442,83.201
6,36,14.848,3.631,85.01
6,37,14.746,3.424,85.966
6,38,15.266,2.752,87.627
6,39,15.284,2.777,89.291
6,40,15.705,2.341,90.943
6,41,16.491,1.437,96.037
6,42,16.245,1.984,99.277
6,43,15.933,2.171,101.806
6,44,15.618,1.967,104.894
6,45,15.231,2.652,105.579
6,46,14.53,2.881,106.18
6,47,14.91,2.534,107.477
6,48,15.881,1.987,108.911
6,49,16.407,2.203,135.911
6,50,19.111,1.867,143.269
6,51,3.141,2.09,129.238
6,52,2.314,0.594,127.257
6,53,0.768,3.714,124.736
6,54,1.093,3.06,124.443
6,55,0.928,2.641,124.439
6,56,13.482,2.886,124.207
6,57,13.239,3.075,123.835
6,58,12.655,4.713,123.814
6,59,13.047,5.065,124.123
6,60,12.819,5.392,123.825
6,61,12.799,6.293,124.519
6,62,13.305,6.215,125.337
6,63,13.262,6.831,125.608
6,64,12.535,7.344,124.921
6,65,12.679,6.891,124.918
6,66,12.596,6.789,124.432
6,67,12.276,6.754,123.985
6,68,11.95,6.541,125.291
6,69,11.803,6.659,126.4
6,70,11.976,6.665,126.089
6,71,11.231,6.467,125.37
6,72,10.775,6.048,125.087
6,73,10.706,5.861,125.312
6,74,10.74,5.549,126.177
6,75,10.609,5.221,126.185
6,76,10.442,4.622,126.287
6,77,10.444,4.634,128.788
6,78,7.666,5.776,65.04
7,1,0.521,2.538,11.445
7,2,1.401,2.328,17.431
7,3,1.738,2.558,21.995
7,4,2.269,2.688,31.088
7,5,2.559,3.262,31.11
7,6,2.969,3.994,34.81
7,7,3.119,4.476,38.029
7,8,3.384,5.013,41.944
7,9,3.742,5.055,45.468
7,10,4.222,5.041,48.613
7,11,4.668,4.985,51.494
7,12,5.238,4.936,55.068
7,13,5.699,5.118,58.482
7,14,5.669,5.596,71.998
7,15,6.269,5.277,73.74
7,16,11.701,6.298,75.766
7,17,11.505,9.11,76.812
7,18,9.708,2.139,66.778
7,19,3.723,5.942,55.63
7,20,3.286,6.939,56.036
7,21,2.442,9.492,57.104
7,22,1.649,10.77,58.184
7,23,1.103,11.786,58.943
7,24,0.634,12.398,60.487
7,25,0.274,13.261,62.136
7,26,0.538,13.239,71.888
7,27,0.435,13.881,73.25
7,28,0.638,13.949,74.607
7,29,0.91,14.255,76.228
7,30,15.823,7.479,77.734
7,31,16.311,7.401,79.038
7,32,16.915,7.764,81.225
7,33,17.417,7.685,101.174
7,34,17.995,8.653,103.796
7,35,18.367,8.503,106.003
7,36,18.89,8.409,110.233
7,37,18.559,8.39,111.996
7,38,18.82,8.499,114.434
7,39,19.16,8.668,117.883
7,40,19.414,9.135,120.545
7,41,19.488,9.518,122.811
7,42,19.446,9.584,124.889
7,43,19.005,9.651,126.702
7,44,8.039,11.099,110.426
7,45,7.327,11.864,112.451
7,46,6.723,12.621,113.875
7,47,6.035,13.493,114.752
7,48,5.998,13.915,116.6
7,49,20.592,3.773,118.04
7,50,20.915,3.423,119.427
7,51,20.267,2.558,119.912
7,52,19.789,2.472,120.127
7,53,19.051,1.757,119.903
7,54,17.81,1.797,119.753
7,55,15.557,1.648,118.751
7,56,13.195,1.259,117.508
7,57,10.888,1.253,116.846
7,58,6.714,0.747,80.454
8,1,1.501,0.764,14.076
8,2,2.566,0.74,27.753
8,3,3.316,0.739,32.292
8,4,4.466,0.722,36.161
8,5,5.204,0.858,39.826
8,6,6.138,0.83,43.666
8,7,7.241,0.729,46.803
8,8,8.266,0.81,50.223
8,9,9.65,0.757,53.417
8,10,10.849,0.512,56.739
8,11,12.296,0.75,60.134
8,12,13.438,0.72,63.395
8,13,14.477,0.709,66.758
8,14,15.11,0.859,70.089
8,15,15.865,0.833,72.824
8,16,16.803,0.73,76.206
8,17,17.407,0.75,79.262
8,18,17.94,0.886,84.502
8,19,19.48,3.296,93.625
8,20,23.26,9.829,95.078
8,21,29.085,11.817,95.674
8,22,4.549,17.537,75.79
8,23,7.797,14.056,80.236
8,24,21.573,3.704,80.615
8,25,21.558,4.234,83.501
8,26,21.164,4.93,84.628
8,27,21.335,5.597,85.863
8,28,20.481,6.797,86.81
8,29,20.345,7.164,88.181
8,30,19.934,7.831,90.258
8,31,17.947,8.997,91.318
8,32,17.672,10.515,93.028
8,33,17.322,11.491,95.054
8,34,17.394,12.459,119.922
8,35,18.307,13.236,157.679
8,36,18.447,13.832,162.869
8,37,18.133,14.613,176.709
8,38,18.423,15.451,126.774
8,39,18.685,15.996,128.591
8,40,18.385,17.357,130.819
8,41,17.842,18.826,135.495
8,42,18.32,19.89,140.991
8,43,18.123,20.874,148.126
8,44,14.17,21.863,146.644
8,45,9.262,13.397,134.198
8,46,10.307,12.794,136.321
8,47,6.328,17.161,134.233
8,48,15.752,13.89,129.529
8,49,17.106,16.306,131.456
8,50,18.037,23.746,133.659
8,51,19.467,23.096,137.515
8,52,21.159,22.426,139.6
8,53,21.711,21.77,141.749
8,54,21.338,21.961,143.125
8,55,20.745,23.162,144.838
8,56,20.424,23.833,147.24
8,57,18.769,25.405,148.278
8,58,18.296,25.588,150.256
8,59,17.828,26.058,152.061
8,60,15.188,25.987,74.023
9,1,0.844,3.237,66.805
9,2,1.096,4.291,98.418
9,3,1.088,5.311,100.424
9,4,0.89,7.111,102.61
9,5,0.719,8.113,108.733
9,6,1.076,9.314,114.386
9,7,1.106,9.921,122.345
9,8,1.523,10.941,127.468
9,9,1.366,12.474,131.399
9,10,0.904,14.07,133.261
9,11,0.882,15.296,134.879
9,12,0.884,16.083,136.302
9,13,1.169,17.59,143.262
9,14,1.827,16.778,145.148
9,15,9.555,0.474,135.773
9,16,10.424,0.476,137.521
9,17,11.064,0.775,140.145
9,18,12.43,0.8,146.247
9,19,10.394,0.524,144.587
9,20,0.471,1.907,134.242
9,21,0.546,2.797,134.047
9,22,0.434,2.113,133.234
9,23,0.367,1.424,132.69
9,24,0.453,2.683,132.082
9,25,1.219,0.56,130.538
9,26,1.597,1.562,131.631
9,27,3.445,1.101,132.705
9,28,2.867,1.418,133.595
9,29,3.899,0.815,134.696
9,30,2.819,4.781,135.238
9,31,1.23,8.197,134.48
9,32,1.955,15.671,134.034
9,33,18.547,1.177,136.067
9,34,18.695,1.416,138.864
9,35,19.951,1.247,141.883
9,36,21.417,0.96,143.711
9,37,22.603,1.14,147.736
9,38,22.66,1.147,171.502
9,39,22.334,1.191,173.566
9,40,20.999,1.918,174.177
9,41,20.445,2.297,175.043
9,42,19.925,3.002,176.447
9,43,17.147,3.493,175.381
9,44,2.179,0.754,157.031
9,45,3.155,2.913,155.09
9,46,5.371,5.001,155.036
9,47,6.966,3.188,155.447
9,48,9.857,0.716,155.993
9,49,10.036,0.732,157.04
9,50,10.52,1.55,158.266
9,51,11.288,4.534,159.495
9,52,15.658,5.803,161.008
9,53,15.166,5.295,164.823
9,54,14.534,5.355,167.387
9,55,13.44,5.149,171.182
9,56,12.171,5.321,172.859
