year,driver,gp,tires,from,to,laps
2012,Jenson Button,Australia,Soft Used,1,16,16
2012,Jenson Button,Australia,Medium New,17,36,20
2012,Jenson Button,Australia,Medium New,37,58,22
2012,Sebastian Vettel,Australia,Soft Used,1,16,16
2012,Sebastian Vettel,Australia,Soft Used,17,37,21
2012,Sebastian Vettel,Australia,Medium New,38,58,21
2012,Lewis Hamilton,Australia,Soft Used,1,17,17
2012,Lewis Hamilton,Australia,Medium New,18,36,19
2012,Lewis Hamilton,Australia,Medium New,37,58,22
2012,Mark Webber,Australia,Soft Used,1,14,14
2012,Mark Webber,Australia,Medium New,15,37,23
2012,Mark Webber,Australia,Medium New,38,58,21
2012,Fernando Alonso,Australia,Medium New,14,33,20
2012,Fernando Alonso,Australia,Medium New,34,58,25
2012,Kamui Kobayashi,Australia,Soft Used,1,13,13
2012,Kamui Kobayashi,Australia,Soft New,14,36,23
2012,Kamui Kobayashi,Australia,Medium New,37,58,22
2012,Fernando Alonso,Australia,Soft Used,1,13,13
2012,Kimi Räikkönen,Australia,Soft New,1,19,19
2012,Kimi Räikkönen,Australia,Soft New,20,37,18
2012,Kimi Räikkönen,Australia,Medium New,38,58,21
2012,Sergio Perez,Australia,Medium Used,1,24,24
2012,Sergio Perez,Australia,Soft New,25,58,34
2012,Daniel Ricciardo,Australia,Soft Used,1,1,1
2012,Daniel Ricciardo,Australia,Medium New,2,22,21
2012,Daniel Ricciardo,Australia,Soft New,23,38,16
2012,Daniel Ricciardo,Australia,Soft Used,39,58,20
2012,Paul di Resta,Australia,Soft Used,1,13,13
2012,Paul di Resta,Australia,Soft New,14,33,20
2012,Paul di Resta,Australia,Medium New,34,58,25
2012,Jean-Eric Vergne,Australia,Medium New,1,19,19
2012,Jean-Eric Vergne,Australia,Soft New,20,37,18
2012,Jean-Eric Vergne,Australia,Soft Used,38,58,21
2012,Nico Rosberg,Australia,Soft Used,1,12,12
2012,Nico Rosberg,Australia,Soft Used,13,31,19
2012,Nico Rosberg,Australia,Medium New,32,58,27
2012,Pastor Maldonado,Australia,Soft Used,1,16,16
2012,Pastor Maldonado,Australia,Soft Used,17,37,21
2012,Pastor Maldonado,Australia,Medium New,38,57,20
2012,Timo Glock,Australia,Medium New,1,20,20
2012,Timo Glock,Australia,Soft Used,21,36,16
2012,Timo Glock,Australia,Medium New,37,57,21
2012,Charles Pic,Australia,Medium New,1,21,21
2012,Charles Pic,Australia,Soft Used,22,35,14
2012,Charles Pic,Australia,Medium New,36,51,16
2012,Charles Pic,Australia,Medium Used,52,53,2
2012,Bruno Senna,Australia,Medium New,1,1,1
2012,Bruno Senna,Australia,Medium New,2,30,29
2012,Bruno Senna,Australia,Medium New,31,47,17
2012,Bruno Senna,Australia,Soft Used,48,52,5
2012,Felipe Massa,Australia,Soft Used,1,11,11
2012,Felipe Massa,Australia,Soft New,12,28,17
2012,Felipe Massa,Australia,Medium New,29,37,9
